Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
128,[01:57:23.884],689.00,530.00,683.00,700.00,678.00,572.00
129,[01:57:23.925],688.00,671.00,706.00,685.00,686.00,553.00
130,[01:57:23.964],700.00,578.00,669.00,689.00,672.00,578.00
131,[01:57:24.004],3816.0,3936.0,9149.0,9322.0,15454,15360
132,[01:57:24.045],49784,38380,49097,49205,48417,39895
133,[01:57:24.085],49764,38351,49022,49419,48460,39797
134,[01:57:24.125],20050,15359,14383,14270,7814.0,7952.0
135,[01:57:24.165],682.00,530.00,694.00,680.00,680.00,578.00
136,[01:57:24.205],683.00,529.00,679.00,693.00,683.00,564.00
137,[01:57:24.245],678.00,578.00,686.00,688.00,669.00,578.00
138,[01:57:24.285],692.00,578.00,681.00,697.00,704.00,578.00
139,[01:57:24.325],688.00,578.00,674.00,698.00,688.00,578.00
140,[01:57:24.365],693.00,578.00,681.00,694.00,686.00,578.00
141,[01:57:24.405],689.00,664.00,686.00,675.00,683.00,578.00
142,[01:57:24.446],686.00,578.00,681.00,677.00,670.00,578.00
143,[01:57:24.486],693.00,533.00,685.00,678.00,686.00,566.00
144,[01:57:24.526],679.00,525.00,672.00,689.00,675.00,578.00
145,[01:57:24.566],677.00,578.00,688.00,669.00,686.00,578.00
146,[01:57:24.606],680.00,578.00,688.00,685.00,670.00,578.00
147,[01:57:24.647],682.00,578.00,679.00,683.00,692.00,554.00
148,[01:57:24.686],701.00,578.00,683.00,691.00,680.00,578.00
149,[01:57:24.726],677.00,523.00,688.00,683.00,672.00,578.00
150,[01:57:24.767],670.00,539.00,676.00,683.00,684.00,578.00
151,[01:57:24.807],693.00,665.00,681.00,693.00,685.00,560.00
152,[01:57:24.847],688.00,520.00,698.00,683.00,703.00,578.00
153,[01:57:24.887],678.00,672.00,684.00,680.00,681.00,569.00
