Tangra v3.8.0.0
Measurments of 1 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,7,80,2,00,NaN,yes,827,0,370,0,no


FrameNo,Time (UT),Signal (1), Background (1)
721,[01:57:47.669],439.00,457.00
722,[01:57:47.709],447.00,447.00
723,[01:57:47.749],458.00,441.00
724,[01:57:47.790],461.00,445.00
725,[01:57:47.830],452.00,447.00
726,[01:57:47.870],444.00,452.00
727,[01:57:47.910],441.00,454.00
728,[01:57:47.950],441.00,451.00
729,[01:57:47.990],455.00,452.00
730,[01:57:48.030],26927,26893
731,[01:57:48.070],32618,32563
732,[01:57:48.110],21785,21784
733,[01:57:48.150],437.00,445.00
734,[01:57:48.190],455.00,454.00
735,[01:57:48.231],457.00,450.00
736,[01:57:48.271],451.00,452.00
737,[01:57:48.311],455.00,451.00
738,[01:57:48.351],450.00,448.00
739,[01:57:48.391],439.00,452.00
740,[01:57:48.431],441.00,458.00
741,[01:57:48.471],439.00,450.00
742,[01:57:48.511],457.00,453.00
743,[01:57:48.551],444.00,446.00
744,[01:57:48.592],437.00,446.00
745,[01:57:48.632],451.00,451.00
746,[01:57:48.672],453.00,456.00
747,[01:57:48.712],453.00,458.00
748,[01:57:48.752],451.00,458.00
749,[01:57:48.792],449.00,450.00
750,[01:57:48.832],440.00,453.00
751,[01:57:48.872],461.00,453.00
752,[01:57:48.913],453.00,451.00
753,[01:57:48.953],448.00,448.00
754,[01:57:48.993],451.00,445.00
755,[01:57:49.033],29173,29121
756,[01:57:49.073],32333,32484
757,[01:57:49.113],19552,19536
758,[01:57:49.153],451.00,448.00
759,[01:57:49.194],447.00,458.00
760,[01:57:49.234],450.00,452.00
761,[01:57:49.273],448.00,448.00
762,[01:57:49.314],439.00,452.00
763,[01:57:49.353],449.00,438.00
764,[01:57:49.394],462.00,447.00
765,[01:57:49.434],450.00,448.00
766,[01:57:49.474],448.00,442.00
767,[01:57:49.514],452.00,450.00
768,[01:57:49.554],447.00,445.00
769,[01:57:49.594],447.00,456.00
770,[01:57:49.635],452.00,454.00
771,[01:57:49.674],450.00,443.00
772,[01:57:49.715],454.00,444.00
773,[01:57:49.755],440.00,457.00
774,[01:57:49.795],454.00,465.00
775,[01:57:49.835],465.00,453.00
776,[01:57:49.875],458.00,448.00
777,[01:57:49.916],456.00,436.00
778,[01:57:49.955],439.00,453.00
779,[01:57:49.996],451.00,451.00
780,[01:57:50.035],31273,31336
781,[01:57:50.075],32487,32518
782,[01:57:50.116],17339,17363
783,[01:57:50.156],450.00,454.00
784,[01:57:50.196],451.00,441.00
785,[01:57:50.236],452.00,446.00
786,[01:57:50.276],450.00,458.00
787,[01:57:50.317],442.00,438.00
788,[01:57:50.356],458.00,458.00
789,[01:57:50.397],461.00,448.00
790,[01:57:50.437],455.00,448.00
791,[01:57:50.477],460.00,446.00
792,[01:57:50.517],454.00,462.00
793,[01:57:50.557],443.00,441.00
794,[01:57:50.598],444.00,447.00
795,[01:57:50.637],458.00,451.00
796,[01:57:50.677],451.00,447.00
797,[01:57:50.718],461.00,447.00
798,[01:57:50.757],448.00,447.00
799,[01:57:50.798],443.00,457.00
800,[01:57:50.838],434.00,453.00
801,[01:57:50.878],443.00,446.00
802,[01:57:50.918],445.00,448.00
803,[01:57:50.959],449.00,452.00
804,[01:57:50.998],1308.0,1246.0
805,[01:57:51.038],32530,32541
806,[01:57:51.079],32512,32502
807,[01:57:51.118],15102,15220
808,[01:57:51.159],442.00,456.00
809,[01:57:51.199],452.00,459.00
810,[01:57:51.239],438.00,445.00
811,[01:57:51.279],449.00,453.00
812,[01:57:51.319],437.00,456.00
813,[01:57:51.359],460.00,459.00
814,[01:57:51.400],457.00,443.00
815,[01:57:51.439],453.00,464.00
816,[01:57:51.479],442.00,449.00
817,[01:57:51.520],448.00,450.00
818,[01:57:51.560],446.00,452.00
819,[01:57:51.600],445.00,453.00
820,[01:57:51.640],448.00,452.00
821,[01:57:51.680],448.00,455.00
822,[01:57:51.720],441.00,459.00
823,[01:57:51.760],450.00,452.00
824,[01:57:51.801],455.00,451.00
825,[01:57:51.841],446.00,454.00
826,[01:57:51.881],449.00,455.00
827,[01:57:51.921],450.00,460.00
828,[01:57:51.961],451.00,438.00
829,[01:57:52.001],3463.0,3491.0
830,[01:57:52.041],32514,32572
831,[01:57:52.081],32532,32550
832,[01:57:52.121],13079,13058
833,[01:57:52.161],444.00,448.00
834,[01:57:52.201],466.00,458.00
835,[01:57:52.242],445.00,457.00
836,[01:57:52.282],453.00,457.00
837,[01:57:52.322],451.00,449.00
838,[01:57:52.362],459.00,448.00
839,[01:57:52.402],444.00,440.00
840,[01:57:52.442],445.00,445.00
841,[01:57:52.482],455.00,454.00
842,[01:57:52.522],451.00,448.00
843,[01:57:52.563],456.00,448.00
844,[01:57:52.602],442.00,450.00
845,[01:57:52.643],454.00,459.00
846,[01:57:52.683],452.00,445.00
847,[01:57:52.723],454.00,457.00
848,[01:57:52.764],440.00,447.00
849,[01:57:52.803],447.00,450.00
850,[01:57:52.843],464.00,444.00
851,[01:57:52.883],453.00,452.00
852,[01:57:52.923],449.00,447.00
853,[01:57:52.964],454.00,447.00
854,[01:57:53.004],5663.0,5688.0
855,[01:57:53.044],32494,32562
856,[01:57:53.084],32574,32460
857,[01:57:53.124],10015,10080
858,[01:57:53.164],453.00,458.00
859,[01:57:53.204],453.00,456.00
860,[01:57:53.244],454.00,447.00
861,[01:57:53.284],437.00,439.00
862,[01:57:53.325],435.00,442.00
863,[01:57:53.364],446.00,449.00
864,[01:57:53.405],455.00,454.00
865,[01:57:53.445],460.00,452.00
866,[01:57:53.485],444.00,450.00
867,[01:57:53.525],452.00,450.00
868,[01:57:53.565],451.00,451.00
869,[01:57:53.605],455.00,458.00
870,[01:57:53.646],462.00,453.00
871,[01:57:53.685],452.00,446.00
872,[01:57:53.726],442.00,446.00
873,[01:57:53.766],448.00,443.00
874,[01:57:53.806],451.00,444.00
875,[01:57:53.846],458.00,453.00
876,[01:57:53.886],452.00,454.00
877,[01:57:53.926],436.00,447.00
878,[01:57:53.967],444.00,452.00
879,[01:57:54.006],7930.0,7802.0
880,[01:57:54.046],32535,32584
881,[01:57:54.086],32514,32658
882,[01:57:54.127],8739.0,8687.0
883,[01:57:54.167],452.00,452.00
884,[01:57:54.207],450.00,445.00
885,[01:57:54.247],448.00,444.00
886,[01:57:54.287],452.00,444.00
887,[01:57:54.327],445.00,453.00
888,[01:57:54.367],461.00,452.00
889,[01:57:54.407],455.00,455.00
890,[01:57:54.448],442.00,456.00
891,[01:57:54.488],448.00,442.00
892,[01:57:54.528],435.00,444.00
893,[01:57:54.568],431.00,448.00
894,[01:57:54.608],450.00,445.00
895,[01:57:54.648],434.00,452.00
896,[01:57:54.688],455.00,452.00
897,[01:57:54.728],446.00,453.00
898,[01:57:54.768],440.00,448.00
899,[01:57:54.809],451.00,448.00
900,[01:57:54.849],437.00,440.00
901,[01:57:54.889],443.00,446.00
902,[01:57:54.929],456.00,440.00
903,[01:57:54.969],454.00,454.00
904,[01:57:55.009],10001,10043
905,[01:57:55.049],32602,32567
906,[01:57:55.089],32720,32572
907,[01:57:55.129],5691.0,5747.0
908,[01:57:55.169],462.00,462.00
909,[01:57:55.209],446.00,462.00
910,[01:57:55.250],449.00,445.00
911,[01:57:55.290],457.00,448.00
912,[01:57:55.330],461.00,444.00
913,[01:57:55.370],449.00,452.00
914,[01:57:55.411],450.00,446.00
915,[01:57:55.451],448.00,449.00
916,[01:57:55.490],436.00,454.00
917,[01:57:55.530],446.00,449.00
918,[01:57:55.571],468.00,451.00
919,[01:57:55.611],439.00,453.00
920,[01:57:55.651],433.00,448.00
921,[01:57:55.691],452.00,453.00
922,[01:57:55.731],445.00,451.00
923,[01:57:55.771],447.00,438.00
924,[01:57:55.812],460.00,444.00
925,[01:57:55.852],452.00,446.00
926,[01:57:55.892],457.00,460.00
927,[01:57:55.932],457.00,446.00
928,[01:57:55.972],457.00,453.00
929,[01:57:56.012],12358,12286
930,[01:57:56.052],32512,32668
931,[01:57:56.092],32538,32513
932,[01:57:56.132],4302.0,4397.0
933,[01:57:56.172],454.00,462.00
934,[01:57:56.212],456.00,449.00
935,[01:57:56.252],441.00,449.00
936,[01:57:56.293],450.00,447.00
937,[01:57:56.333],452.00,446.00
938,[01:57:56.373],446.00,443.00
939,[01:57:56.413],454.00,440.00
940,[01:57:56.453],438.00,456.00
941,[01:57:56.493],443.00,450.00
942,[01:57:56.533],442.00,451.00
943,[01:57:56.573],456.00,452.00
944,[01:57:56.614],448.00,450.00
945,[01:57:56.654],447.00,454.00
946,[01:57:56.694],444.00,456.00
947,[01:57:56.734],450.00,449.00
948,[01:57:56.774],450.00,454.00
949,[01:57:56.815],457.00,451.00
950,[01:57:56.854],452.00,451.00
951,[01:57:56.895],459.00,451.00
952,[01:57:56.935],454.00,449.00
953,[01:57:56.974],446.00,454.00
954,[01:57:57.015],14348,14407
955,[01:57:57.055],32502,32485
956,[01:57:57.095],32581,32454
957,[01:57:57.135],1412.0,1427.0
958,[01:57:57.175],442.00,453.00
959,[01:57:57.215],439.00,451.00
960,[01:57:57.255],455.00,453.00
961,[01:57:57.295],462.00,445.00
962,[01:57:57.336],446.00,450.00
963,[01:57:57.375],450.00,447.00
964,[01:57:57.416],452.00,450.00
965,[01:57:57.456],456.00,450.00
966,[01:57:57.496],448.00,446.00
967,[01:57:57.536],455.00,442.00
968,[01:57:57.576],445.00,454.00
969,[01:57:57.616],443.00,443.00
970,[01:57:57.656],449.00,454.00
971,[01:57:57.697],457.00,457.00
972,[01:57:57.736],450.00,459.00
973,[01:57:57.777],452.00,445.00
974,[01:57:57.817],457.00,450.00
975,[01:57:57.857],450.00,450.00
976,[01:57:57.897],456.00,448.00
977,[01:57:57.937],449.00,452.00
978,[01:57:57.978],443.00,443.00
979,[01:57:58.017],16615,16594
980,[01:57:58.057],32608,32576
981,[01:57:58.098],32264,32387
982,[01:57:58.138],458.00,455.00
983,[01:57:58.178],455.00,443.00
984,[01:57:58.219],446.00,456.00
985,[01:57:58.258],442.00,449.00
986,[01:57:58.298],449.00,440.00
987,[01:57:58.338],448.00,452.00
988,[01:57:58.378],446.00,453.00
989,[01:57:58.418],455.00,450.00
990,[01:57:58.459],450.00,443.00
991,[01:57:58.499],438.00,453.00
992,[01:57:58.539],444.00,452.00
993,[01:57:58.579],455.00,447.00
994,[01:57:58.619],446.00,451.00
995,[01:57:58.659],446.00,452.00
996,[01:57:58.700],453.00,441.00
997,[01:57:58.739],452.00,457.00
998,[01:57:58.779],455.00,441.00
999,[01:57:58.819],446.00,453.00
1000,[01:57:58.860],441.00,466.00
1001,[01:57:58.900],447.00,444.00
1002,[01:57:58.940],437.00,457.00
1003,[01:57:58.980],460.00,453.00
1004,[01:57:59.020],18843,18796
1005,[01:57:59.061],32632,32565
1006,[01:57:59.100],30028,30170
1007,[01:57:59.140],445.00,463.00
1008,[01:57:59.180],468.00,444.00
1009,[01:57:59.221],448.00,441.00
1010,[01:57:59.261],454.00,454.00
1011,[01:57:59.301],447.00,445.00
1012,[01:57:59.341],463.00,450.00
1013,[01:57:59.381],445.00,441.00
1014,[01:57:59.421],456.00,454.00
1015,[01:57:59.461],455.00,456.00
1016,[01:57:59.501],454.00,448.00
1017,[01:57:59.542],454.00,456.00
1018,[01:57:59.582],445.00,453.00
1019,[01:57:59.622],453.00,454.00
1020,[01:57:59.662],458.00,447.00
1021,[01:57:59.702],454.00,445.00
1022,[01:57:59.743],466.00,460.00
1023,[01:57:59.782],457.00,456.00
1024,[01:57:59.822],461.00,453.00
1025,[01:57:59.862],439.00,455.00
1026,[01:57:59.903],452.00,449.00
1027,[01:57:59.943],452.00,443.00
1028,[01:57:59.983],448.00,445.00
1029,[01:58:00.023],20920,21098
1030,[01:58:00.063],32616,32556
1031,[01:58:00.103],27839,27923
1032,[01:58:00.144],445.00,448.00
1033,[01:58:00.183],462.00,451.00
1034,[01:58:00.223],444.00,454.00
1035,[01:58:00.263],447.00,444.00
1036,[01:58:00.303],450.00,457.00
1037,[01:58:00.344],451.00,447.00
1038,[01:58:00.384],457.00,448.00
1039,[01:58:00.424],455.00,444.00
1040,[01:58:00.464],454.00,454.00
1041,[01:58:00.504],438.00,446.00
1042,[01:58:00.544],446.00,457.00
1043,[01:58:00.584],443.00,448.00
1044,[01:58:00.624],453.00,457.00
1045,[01:58:00.664],462.00,457.00
1046,[01:58:00.705],453.00,442.00
1047,[01:58:00.745],439.00,443.00
1048,[01:58:00.785],445.00,447.00
1049,[01:58:00.825],445.00,458.00
1050,[01:58:00.865],445.00,454.00
1051,[01:58:00.905],459.00,446.00
1052,[01:58:00.945],441.00,454.00
1053,[01:58:00.985],457.00,448.00
1054,[01:58:01.025],23340,23231
1055,[01:58:01.066],32661,32633
1056,[01:58:01.106],25741,25670
1057,[01:58:01.146],443.00,445.00
1058,[01:58:01.186],459.00,451.00
1059,[01:58:01.226],457.00,448.00
1060,[01:58:01.267],441.00,460.00
1061,[01:58:01.306],456.00,453.00
1062,[01:58:01.347],444.00,456.00
1063,[01:58:01.386],459.00,445.00
1064,[01:58:01.427],453.00,455.00
1065,[01:58:01.468],460.00,447.00
1066,[01:58:01.507],451.00,448.00
1067,[01:58:01.547],445.00,450.00
1068,[01:58:01.587],450.00,451.00
1069,[01:58:01.628],460.00,444.00
1070,[01:58:01.668],443.00,445.00
1071,[01:58:01.707],452.00,445.00
1072,[01:58:01.748],449.00,459.00
1073,[01:58:01.788],447.00,451.00
1074,[01:58:01.828],451.00,446.00
1075,[01:58:01.868],451.00,448.00
1076,[01:58:01.908],436.00,466.00
1077,[01:58:01.948],463.00,451.00
1078,[01:58:01.988],460.00,450.00
1079,[01:58:02.028],25474,25488
1080,[01:58:02.068],32454,32556
1081,[01:58:02.108],22699,22828
1082,[01:58:02.149],444.00,448.00
1083,[01:58:02.189],459.00,454.00
1084,[01:58:02.229],448.00,448.00
1085,[01:58:02.269],457.00,452.00
1086,[01:58:02.310],466.00,446.00
1087,[01:58:02.349],452.00,460.00
1088,[01:58:02.389],449.00,439.00
1089,[01:58:02.430],456.00,448.00
1090,[01:58:02.470],453.00,444.00
1091,[01:58:02.510],435.00,445.00
1092,[01:58:02.550],461.00,448.00
1093,[01:58:02.590],439.00,447.00
1094,[01:58:02.630],462.00,449.00
1095,[01:58:02.670],454.00,459.00
1096,[01:58:02.710],445.00,447.00
1097,[01:58:02.750],448.00,444.00
1098,[01:58:02.790],448.00,451.00
1099,[01:58:02.831],442.00,450.00
1100,[01:58:02.870],447.00,454.00
1101,[01:58:02.911],449.00,449.00
1102,[01:58:02.951],448.00,452.00
1103,[01:58:02.991],458.00,447.00
1104,[01:58:03.031],27666,27657
1105,[01:58:03.071],32534,32537
1106,[01:58:03.111],21335,21422
1107,[01:58:03.151],460.00,455.00
1108,[01:58:03.191],451.00,451.00
1109,[01:58:03.232],468.00,454.00
1110,[01:58:03.272],437.00,451.00
1111,[01:58:03.312],448.00,446.00
1112,[01:58:03.352],446.00,438.00
1113,[01:58:03.392],450.00,446.00
1114,[01:58:03.432],455.00,453.00
1115,[01:58:03.472],442.00,444.00
1116,[01:58:03.513],443.00,453.00
1117,[01:58:03.553],461.00,444.00
1118,[01:58:03.593],445.00,446.00
1119,[01:58:03.633],448.00,452.00
1120,[01:58:03.673],452.00,452.00
1121,[01:58:03.713],439.00,450.00
1122,[01:58:03.753],448.00,454.00
1123,[01:58:03.793],454.00,450.00
1124,[01:58:03.833],456.00,456.00
1125,[01:58:03.873],447.00,456.00
1126,[01:58:03.914],447.00,467.00
1127,[01:58:03.954],445.00,442.00
1128,[01:58:03.994],444.00,450.00
1129,[01:58:04.034],30070,29964
1130,[01:58:04.074],32575,32571
1131,[01:58:04.115],18417,18381
1132,[01:58:04.154],452.00,452.00
1133,[01:58:04.195],453.00,457.00
1134,[01:58:04.234],433.00,453.00
1135,[01:58:04.274],456.00,451.00
1136,[01:58:04.315],441.00,448.00
1137,[01:58:04.355],442.00,447.00
1138,[01:58:04.395],446.00,457.00
1139,[01:58:04.435],452.00,460.00
1140,[01:58:04.475],453.00,446.00
1141,[01:58:04.515],446.00,446.00
1142,[01:58:04.555],451.00,442.00
1143,[01:58:04.595],441.00,449.00
1144,[01:58:04.635],445.00,439.00
1145,[01:58:04.676],445.00,454.00
1146,[01:58:04.716],438.00,443.00
1147,[01:58:04.756],446.00,454.00
1148,[01:58:04.796],458.00,450.00
1149,[01:58:04.836],458.00,456.00
1150,[01:58:04.876],449.00,437.00
1151,[01:58:04.916],450.00,445.00
1152,[01:58:04.956],445.00,463.00
1153,[01:58:04.997],440.00,453.00
1154,[01:58:05.037],32089,32048
1155,[01:58:05.077],32492,32532
1156,[01:58:05.118],17099,17104
1157,[01:58:05.157],447.00,450.00
1158,[01:58:05.197],452.00,442.00
1159,[01:58:05.237],445.00,452.00
1160,[01:58:05.278],447.00,452.00
1161,[01:58:05.318],464.00,453.00
1162,[01:58:05.357],447.00,447.00
1163,[01:58:05.398],452.00,453.00
1164,[01:58:05.438],455.00,448.00
1165,[01:58:05.478],453.00,453.00
1166,[01:58:05.518],453.00,459.00
1167,[01:58:05.558],454.00,451.00
1168,[01:58:05.599],445.00,441.00
1169,[01:58:05.638],444.00,443.00
1170,[01:58:05.678],444.00,445.00
1171,[01:58:05.718],455.00,449.00
1172,[01:58:05.759],446.00,449.00
1173,[01:58:05.799],434.00,452.00
1174,[01:58:05.839],453.00,450.00
1175,[01:58:05.879],446.00,450.00
1176,[01:58:05.919],443.00,448.00
1177,[01:58:05.959],444.00,449.00
1178,[01:58:06.000],2084.0,2087.0
1179,[01:58:06.039],32536,32676
1180,[01:58:06.079],32360,32550
1181,[01:58:06.119],14086,14153
1182,[01:58:06.160],451.00,451.00
1183,[01:58:06.200],446.00,457.00
1184,[01:58:06.240],455.00,452.00
1185,[01:58:06.280],452.00,447.00
1186,[01:58:06.320],453.00,447.00
1187,[01:58:06.360],452.00,446.00
1188,[01:58:06.400],458.00,446.00
1189,[01:58:06.440],460.00,451.00
1190,[01:58:06.480],447.00,443.00
1191,[01:58:06.521],459.00,443.00
1192,[01:58:06.561],454.00,447.00
1193,[01:58:06.601],454.00,449.00
1194,[01:58:06.641],442.00,448.00
1195,[01:58:06.681],435.00,443.00
1196,[01:58:06.721],454.00,448.00
1197,[01:58:06.761],445.00,451.00
1198,[01:58:06.802],453.00,448.00
1199,[01:58:06.841],447.00,447.00
1200,[01:58:06.882],452.00,453.00
1201,[01:58:06.921],449.00,443.00
1202,[01:58:06.962],443.00,444.00
1203,[01:58:07.002],4267.0,4248.0
1204,[01:58:07.042],32517,32548
1205,[01:58:07.082],32723,32522
1206,[01:58:07.122],12743,12733
1207,[01:58:07.162],453.00,447.00
1208,[01:58:07.202],448.00,449.00
1209,[01:58:07.242],447.00,457.00
1210,[01:58:07.283],451.00,454.00
1211,[01:58:07.323],451.00,451.00
1212,[01:58:07.363],453.00,454.00
1213,[01:58:07.403],457.00,444.00
1214,[01:58:07.443],443.00,448.00
1215,[01:58:07.483],453.00,464.00
1216,[01:58:07.523],464.00,452.00
1217,[01:58:07.563],436.00,448.00
1218,[01:58:07.603],448.00,451.00
1219,[01:58:07.644],442.00,446.00
1220,[01:58:07.684],445.00,457.00
1221,[01:58:07.724],442.00,449.00
1222,[01:58:07.764],452.00,456.00
1223,[01:58:07.804],454.00,450.00
1224,[01:58:07.844],442.00,443.00
1225,[01:58:07.884],447.00,449.00
1226,[01:58:07.924],451.00,452.00
1227,[01:58:07.964],441.00,451.00
1228,[01:58:08.004],6441.0,6374.0
1229,[01:58:08.045],32550,32637
1230,[01:58:08.085],32439,32463
1231,[01:58:08.125],10571,10543
1232,[01:58:08.165],452.00,441.00
1233,[01:58:08.205],446.00,451.00
1234,[01:58:08.245],452.00,448.00
1235,[01:58:08.285],445.00,446.00
1236,[01:58:08.326],443.00,452.00
1237,[01:58:08.365],452.00,444.00
1238,[01:58:08.406],455.00,469.00
1239,[01:58:08.446],457.00,441.00
1240,[01:58:08.486],456.00,461.00
1241,[01:58:08.526],438.00,451.00
1242,[01:58:08.566],433.00,451.00
1243,[01:58:08.606],447.00,449.00
1244,[01:58:08.646],439.00,461.00
1245,[01:58:08.686],451.00,446.00
1246,[01:58:08.726],456.00,446.00
1247,[01:58:08.767],451.00,445.00
1248,[01:58:08.807],446.00,458.00
1249,[01:58:08.847],444.00,448.00
1250,[01:58:08.887],452.00,452.00
1251,[01:58:08.927],450.00,458.00
1252,[01:58:08.967],444.00,445.00
1253,[01:58:09.007],8579.0,8632.0
1254,[01:58:09.047],32617,32523
1255,[01:58:09.087],32379,32535
1256,[01:58:09.128],8467.0,8403.0
1257,[01:58:09.168],448.00,451.00
1258,[01:58:09.208],444.00,448.00
1259,[01:58:09.248],450.00,444.00
1260,[01:58:09.288],444.00,441.00
1261,[01:58:09.328],433.00,451.00
1262,[01:58:09.368],442.00,452.00
1263,[01:58:09.408],448.00,457.00
1264,[01:58:09.449],448.00,456.00
1265,[01:58:09.489],450.00,457.00
1266,[01:58:09.529],442.00,457.00
1267,[01:58:09.569],448.00,449.00
1268,[01:58:09.609],447.00,447.00
1269,[01:58:09.650],442.00,439.00
1270,[01:58:09.689],451.00,447.00
1271,[01:58:09.729],459.00,445.00
1272,[01:58:09.769],444.00,444.00
1273,[01:58:09.810],457.00,451.00
1274,[01:58:09.850],447.00,447.00
1275,[01:58:09.890],426.00,445.00
1276,[01:58:09.930],457.00,451.00
1277,[01:58:09.970],442.00,457.00
1278,[01:58:10.010],10796,10841
1279,[01:58:10.051],32549,32537
1280,[01:58:10.090],32642,32511
1281,[01:58:10.130],6266.0,6273.0
1282,[01:58:10.170],448.00,452.00
1283,[01:58:10.210],444.00,450.00
1284,[01:58:10.251],451.00,453.00
1285,[01:58:10.291],442.00,451.00
1286,[01:58:10.331],437.00,454.00
1287,[01:58:10.371],455.00,453.00
1288,[01:58:10.411],447.00,451.00
1289,[01:58:10.451],460.00,457.00
1290,[01:58:10.491],447.00,454.00
1291,[01:58:10.532],442.00,456.00
1292,[01:58:10.571],435.00,446.00
1293,[01:58:10.612],447.00,455.00
1294,[01:58:10.652],450.00,450.00
1295,[01:58:10.692],446.00,443.00
1296,[01:58:10.732],458.00,446.00
1297,[01:58:10.772],441.00,446.00
1298,[01:58:10.812],449.00,454.00
1299,[01:58:10.852],453.00,449.00
1300,[01:58:10.892],459.00,454.00
1301,[01:58:10.933],454.00,446.00
1302,[01:58:10.973],454.00,447.00
1303,[01:58:11.013],13030,13103
1304,[01:58:11.053],32587,32495
1305,[01:58:11.093],32545,32475
1306,[01:58:11.133],3285.0,3290.0
1307,[01:58:11.173],442.00,452.00
1308,[01:58:11.213],460.00,450.00
1309,[01:58:11.253],452.00,448.00
1310,[01:58:11.294],457.00,443.00
1311,[01:58:11.333],444.00,444.00
1312,[01:58:11.374],441.00,453.00
1313,[01:58:11.414],454.00,450.00
1314,[01:58:11.454],468.00,453.00
1315,[01:58:11.495],449.00,453.00
1316,[01:58:11.534],438.00,447.00
1317,[01:58:11.574],454.00,443.00
1318,[01:58:11.614],454.00,449.00
1319,[01:58:11.654],444.00,455.00
1320,[01:58:11.695],446.00,456.00
1321,[01:58:11.735],454.00,445.00
1322,[01:58:11.775],446.00,456.00
1323,[01:58:11.815],457.00,451.00
1324,[01:58:11.855],452.00,454.00
1325,[01:58:11.895],441.00,451.00
1326,[01:58:11.935],454.00,448.00
1327,[01:58:11.976],452.00,443.00
1328,[01:58:12.016],15325,15268
1329,[01:58:12.056],32577,32646
1330,[01:58:12.096],32502,32583
1331,[01:58:12.136],1973.0,1982.0
1332,[01:58:12.176],448.00,447.00
1333,[01:58:12.216],465.00,451.00
1334,[01:58:12.256],436.00,456.00
1335,[01:58:12.296],445.00,448.00
1336,[01:58:12.336],456.00,449.00
1337,[01:58:12.377],453.00,454.00
1338,[01:58:12.417],438.00,456.00
1339,[01:58:12.457],458.00,448.00
1340,[01:58:12.497],455.00,454.00
1341,[01:58:12.537],453.00,459.00
1342,[01:58:12.577],452.00,440.00
1343,[01:58:12.618],449.00,459.00
1344,[01:58:12.657],446.00,463.00
1345,[01:58:12.697],449.00,441.00
1346,[01:58:12.738],442.00,452.00
1347,[01:58:12.778],434.00,453.00
1348,[01:58:12.818],454.00,448.00
1349,[01:58:12.858],452.00,449.00
1350,[01:58:12.899],456.00,458.00
1351,[01:58:12.938],453.00,446.00
1352,[01:58:12.978],442.00,458.00
1353,[01:58:13.018],17490,17457
1354,[01:58:13.059],32581,32558
1355,[01:58:13.099],31222,31193
1356,[01:58:13.139],448.00,448.00
1357,[01:58:13.179],450.00,443.00
1358,[01:58:13.219],454.00,446.00
1359,[01:58:13.259],445.00,460.00
1360,[01:58:13.299],449.00,452.00
1361,[01:58:13.339],451.00,444.00
1362,[01:58:13.379],456.00,447.00
1363,[01:58:13.419],467.00,453.00
1364,[01:58:13.460],442.00,463.00
1365,[01:58:13.500],433.00,460.00
1366,[01:58:13.540],454.00,450.00
1367,[01:58:13.580],455.00,450.00
1368,[01:58:13.620],454.00,447.00
1369,[01:58:13.660],459.00,445.00
1370,[01:58:13.701],441.00,443.00
1371,[01:58:13.740],442.00,446.00
1372,[01:58:13.781],451.00,445.00
1373,[01:58:13.820],443.00,439.00
1374,[01:58:13.861],443.00,440.00
1375,[01:58:13.901],474.00,448.00
1376,[01:58:13.941],454.00,454.00
1377,[01:58:13.981],448.00,440.00
1378,[01:58:14.021],19648,19698
1379,[01:58:14.061],32462,32522
1380,[01:58:14.101],28753,29013
1381,[01:58:14.141],456.00,451.00
1382,[01:58:14.181],457.00,451.00
1383,[01:58:14.222],458.00,450.00
1384,[01:58:14.262],453.00,454.00
1385,[01:58:14.302],443.00,458.00
1386,[01:58:14.342],452.00,451.00
1387,[01:58:14.382],441.00,450.00
1388,[01:58:14.422],455.00,454.00
1389,[01:58:14.462],439.00,448.00
1390,[01:58:14.502],443.00,450.00
1391,[01:58:14.542],441.00,452.00
1392,[01:58:14.583],453.00,453.00
1393,[01:58:14.623],452.00,452.00
1394,[01:58:14.663],449.00,452.00
1395,[01:58:14.703],439.00,454.00
1396,[01:58:14.744],460.00,453.00
1397,[01:58:14.784],440.00,445.00
1398,[01:58:14.823],452.00,457.00
1399,[01:58:14.864],445.00,457.00
1400,[01:58:14.903],447.00,444.00
1401,[01:58:14.944],446.00,464.00
1402,[01:58:14.986],450.00,457.00
1403,[01:58:15.024],21794,21845
1404,[01:58:15.065],32570,32513
1405,[01:58:15.104],25923,26001
1406,[01:58:15.144],439.00,447.00
1407,[01:58:15.184],446.00,444.00
1408,[01:58:15.224],467.00,448.00
1409,[01:58:15.264],453.00,454.00
1410,[01:58:15.304],451.00,450.00
1411,[01:58:15.345],453.00,457.00
1412,[01:58:15.385],463.00,450.00
1413,[01:58:15.425],465.00,456.00
1414,[01:58:15.465],458.00,451.00
1415,[01:58:15.505],447.00,452.00
1416,[01:58:15.545],453.00,453.00
1417,[01:58:15.586],429.00,454.00
1418,[01:58:15.625],447.00,439.00
1419,[01:58:15.666],444.00,448.00
